ICSD Code,Formula,Chemical Formula,Space Group,Validation Status,Measurement Conditions,Compound Class,Year,Journal,GII,Failure Mode,Disorder Type
53816,Cl1 Na1,Cl1 Na1,F m -3 m,Validated,Ambient,Chloride,1919.0,Transactions of the American Institute of Electrical Engineers,0.0189,,pure
60280,Cl1 Na1,Cl1 Na1,F m -3 m,Validated,Ambient,Chloride,1970.0,"Izvestiya Akademii Nauk SSSR, Seriya Khimicheskaya",0.0215,,pure
61662,Cl1 Na1,Cl1 Na1,F m -3 m,Validated,Ambient,Chloride,1949.0,Journal of Physical Chemistry,0.0191,,pure
142801,Cl1 Na1,Cl1 Na1,F m -3 m,Validated,Ambient,Chloride,,,0.0307,,pure
165592,Cl1 Na1,Cl1 Na1,F m -3 m,Validated,Ambient,Chloride,2006.0,Inorganic Chemistry,0.0415,,pure
169462,Cl1 Na1,Cl1 Na1,F m -3 m,Validated,Ambient,Chloride,2011.0,Journal of Alloys and Compounds,0.0102,,pure
181148,Cl1 Na1,Cl1 Na1,F m -3 m,Validated,Ambient,Chloride,2011.0,Journal of Crystal Growth,0.0213,,pure
197693,Cl1 Na1,Cl1 Na1,F m -3 m,Validated,Ambient,Chloride,1953.0,National Bureau of Standards Circular (U. S.),0.0191,,pure
206948,Cl1 Na1,Cl1 Na1,F m -3 m,Validated,Ambient,Chloride,2023.0,Sustainable Energy & Fuels,0.0696,,pure
240598,Cl1 Na1,Cl1 Na1,F m -3 m,Validated,Ambient,Chloride,2004.0,American Mineralogist,0.019,,pure
18016,Cl1 Rb1,Cl1 Rb1,F m -3 m,Borderline,Ambient,Chloride,1926.0,Zeitschrift fuer Kristallographie,0.117,,pure
22166,Cl1 Rb1,Cl1 Rb1,F m -3 m,Validated,Ambient,Chloride,1969.0,"Annales Academiae Scientiarum Fennicae, Series A6: Physica",0.0712,,pure
23761,Cl1 Rb1,Cl1 Rb1,F m -3 m,Validated,Ambient,Chloride,1970.0,"Acta Crystallographica, Section A",0.0683,,pure
53829,Cl1 Rb1,Cl1 Rb1,F m -3 m,Validated,Ambient,Chloride,1922.0,Journal of the Washington Academy of Sciences,0.0412,,pure
53844,Cl1 Rb1,Cl1 Rb1,F m -3 m,Validated,Ambient,Chloride,1925.0,Zeitschrift fuer Kristallographie,0.0843,,pure
61538,Cl1 Rb1,Cl1 Rb1,F m -3 m,Validated,Ambient,Chloride,,,0.0669,,pure
199932,Cl1 Rb1,Cl1 Rb1,F m -3 m,Validated,Ambient,Chloride,1961.0,Acta Crystallographica,0.0557,,pure
199933,Cl1 Rb1,Cl1 Rb1,F m -3 m,Validated,Ambient,Chloride,1961.0,Acta Crystallographica,0.0531,,pure
199934,Cl1 Rb1,Cl1 Rb1,F m -3 m,Failed,Ambient,Chloride,1961.0,Acta Crystallographica,3.0372,Type6_Anomaly,pure
18008,Ag1 F1,Ag1 F1,F m -3 m,Validated,Ambient,Fluoride,1926.0,Zeitschrift fuer Kristallographie,0.008,,pure
64132,Ag1 F1,Ag1 F1,F m -3 m,Validated,Ambient,Fluoride,2023.0,IUCrData,0.0057,,pure
266257,Co0.7 Fe0.3 O1,Co0.7 Fe0.3 O1,F m -3 m,Validated,Ambient,Fluoride,2018.0,Inorganic Chemistry,0.0666,Type3_Vacancy,homovalent
52241,F1 K1,F1 K1,F m -3 m,Validated,Ambient,Fluoride,1936.0,"Proceedings of the Physical Society, London",0.0743,,pure
53824,F1 K1,F1 K1,F m -3 m,Validated,Ambient,Fluoride,1919.0,Transactions of the American Institute of Electrical Engineers,0.0904,,pure
64686,F1 K1,F1 K1,F m -3 m,Validated,Ambient,Fluoride,,,0.045,,pure
18012,F1 Li1,F1 Li1,F m -3 m,Validated,Ambient,Fluoride,1926.0,Zeitschrift fuer Kristallographie,0.0245,,pure
41409,F1 Li1,F1 Li1,F m -3 m,Validated,Ambient,Fluoride,1988.0,Kristallografiya,0.0259,,pure
